INFO 2025-08-07 17:44:05,944 autoreload Watching for file changes with StatReloader
DEBUG 2025-08-07 17:44:05,947 autoreload Waiting for apps ready_event.
DEBUG 2025-08-07 17:44:06,682 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-08-07 17:44:06,723 autoreload Watching dir L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\templates with glob **/*.
DEBUG 2025-08-07 17:44:06,724 autoreload Watching dir L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-08-07 17:44:06,726 autoreload Watching dir L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\locale with glob **/*.mo.
DEBUG 2025-08-07 17:44:06,728 autoreload Watching dir L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-08-07 17:44:06,730 autoreload Watching dir L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2025-08-07 17:44:06,732 autoreload Watching dir L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-08-07 17:44:06,733 autoreload Watching dir L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\account\locale with glob **/*.mo.
DEBUG 2025-08-07 17:44:06,735 autoreload Watching dir L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\tasks\locale with glob **/*.mo.
DEBUG 2025-08-07 17:44:07,107 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-08-07 17:44:07,126 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-08-07 17:44:07,559 autoreload File C:\Python 3.13.5\Lib\http\server.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:07,564 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\urllib3\util\ssl_match_hostname.py first seen with mtime 1754560973.7096014
DEBUG 2025-08-07 17:44:07,597 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1754560989.2275217
DEBUG 2025-08-07 17:44:07,690 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\rest_framework\compat.py first seen with mtime 1754561010.5029926
DEBUG 2025-08-07 17:44:07,729 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\core\checks\files.py first seen with mtime 1754560994.6855185
DEBUG 2025-08-07 17:44:07,757 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1754560994.9115574
DEBUG 2025-08-07 17:44:07,787 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\views\csrf.py first seen with mtime 1754560995.3328445
DEBUG 2025-08-07 17:44:07,830 autoreload File C:\Python 3.13.5\Lib\asyncio\constants.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:07,912 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1754560989.9595232
DEBUG 2025-08-07 17:44:07,955 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\template\response.py first seen with mtime 1754560995.207353
DEBUG 2025-08-07 17:44:08,001 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\unfold\enums.py first seen with mtime 1754561014.3934124
DEBUG 2025-08-07 17:44:08,134 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1754560995.229294
DEBUG 2025-08-07 17:44:08,233 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1754560994.9226966
DEBUG 2025-08-07 17:44:08,367 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\utils\text.py first seen with mtime 1754560995.3128984
DEBUG 2025-08-07 17:44:08,444 autoreload File C:\Python 3.13.5\Lib\importlib\resources\readers.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:08,474 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\rest_framework_simplejwt\tokens.py first seen with mtime 1754561018.0238495
DEBUG 2025-08-07 17:44:08,489 autoreload File C:\Python 3.13.5\Lib\ipaddress.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:08,495 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1754560995.3218737
DEBUG 2025-08-07 17:44:08,503 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\rest_framework\permissions.py first seen with mtime 1754561010.5109613
DEBUG 2025-08-07 17:44:08,510 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\core\management\base.py first seen with mtime 1754560994.7384398
DEBUG 2025-08-07 17:44:08,521 autoreload File C:\Python 3.13.5\Lib\asyncio\base_subprocess.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:08,528 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1754560989.225527
DEBUG 2025-08-07 17:44:08,557 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1754560994.7794268
DEBUG 2025-08-07 17:44:08,582 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1754560995.1890595
DEBUG 2025-08-07 17:44:08,588 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\idna\__init__.py first seen with mtime 1754560984.7803302
DEBUG 2025-08-07 17:44:08,597 autoreload File C:\Python 3.13.5\Lib\string.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:08,613 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\sqlparse\utils.py first seen with mtime 1754560977.3880565
DEBUG 2025-08-07 17:44:08,638 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\tasks\apps.py first seen with mtime 1752863773.2663014
DEBUG 2025-08-07 17:44:08,643 autoreload File C:\Python 3.13.5\Lib\importlib\metadata\_functools.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:08,683 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1754560995.2053578
DEBUG 2025-08-07 17:44:08,723 autoreload File C:\Python 3.13.5\Lib\copy.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:08,726 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\charset_normalizer\legacy.py first seen with mtime 1754560985.5409846
DEBUG 2025-08-07 17:44:08,733 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\manage.py first seen with mtime 1752842721.2038224
DEBUG 2025-08-07 17:44:08,743 autoreload File C:\Python 3.13.5\Lib\concurrent\__init__.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:08,749 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1754560989.578797
DEBUG 2025-08-07 17:44:08,787 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1754560994.959908
DEBUG 2025-08-07 17:44:08,815 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\requests\compat.py first seen with mtime 1754560986.6049106
DEBUG 2025-08-07 17:44:08,832 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1754560994.6765425
DEBUG 2025-08-07 17:44:08,862 autoreload File C:\Python 3.13.5\Lib\importlib\metadata\_meta.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:08,882 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\unfold\checks.py first seen with mtime 1754561013.5854533
DEBUG 2025-08-07 17:44:08,954 autoreload File C:\Python 3.13.5\DLLs\_sqlite3.pyd first seen with mtime 1749643822.0
DEBUG 2025-08-07 17:44:09,021 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\rest_framework\schemas\utils.py first seen with mtime 1754561011.14477
DEBUG 2025-08-07 17:44:09,047 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1754560989.95653
DEBUG 2025-08-07 17:44:09,083 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\core\files\base.py first seen with mtime 1754560994.7014763
DEBUG 2025-08-07 17:44:09,124 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\utils\itercompat.py first seen with mtime 1754560995.3009303
DEBUG 2025-08-07 17:44:09,153 autoreload File C:\Python 3.13.5\Lib\urllib\error.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:09,197 autoreload File C:\Python 3.13.5\Lib\re\_parser.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:09,229 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\rest_framework\utils\html.py first seen with mtime 1754561011.2476127
DEBUG 2025-08-07 17:44:09,263 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1754560989.9585247
DEBUG 2025-08-07 17:44:09,276 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\tasks\urls.py first seen with mtime 1752864768.1139536
DEBUG 2025-08-07 17:44:09,284 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\account\admin.py first seen with mtime 1749953386.533605
DEBUG 2025-08-07 17:44:09,309 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1754560994.0088787
DEBUG 2025-08-07 17:44:09,322 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1754560994.8734808
DEBUG 2025-08-07 17:44:09,370 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\urllib3\_base_connection.py first seen with mtime 1754560973.6065588
DEBUG 2025-08-07 17:44:09,403 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\asgiref\sync.py first seen with mtime 1754560986.3840835
DEBUG 2025-08-07 17:44:09,414 autoreload File C:\Python 3.13.5\Lib\logging\__init__.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:09,432 autoreload File C:\Python 3.13.5\DLLs\_zoneinfo.pyd first seen with mtime 1749643822.0
DEBUG 2025-08-07 17:44:09,466 autoreload File C:\Python 3.13.5\Lib\numbers.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:09,473 autoreload File C:\Python 3.13.5\Lib\ctypes\wintypes.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:09,524 autoreload File C:\Python 3.13.5\Lib\types.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:09,565 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\db\backends\sqlite3\_functions.py first seen with mtime 1754560994.8704932
DEBUG 2025-08-07 17:44:09,617 autoreload File C:\Python 3.13.5\Lib\re\_casefix.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:09,660 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1754560994.689508
DEBUG 2025-08-07 17:44:09,684 autoreload File C:\Python 3.13.5\Lib\importlib\metadata\__init__.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:09,695 autoreload File C:\Python 3.13.5\Lib\importlib\abc.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:09,700 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\utils\tree.py first seen with mtime 1754560995.317884
DEBUG 2025-08-07 17:44:09,705 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1754560989.9575276
DEBUG 2025-08-07 17:44:09,710 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\requests\__init__.py first seen with mtime 1754560986.5969322
DEBUG 2025-08-07 17:44:09,720 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\http\__init__.py first seen with mtime 1754560995.165241
DEBUG 2025-08-07 17:44:09,726 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\idna\package_data.py first seen with mtime 1754560984.797721
DEBUG 2025-08-07 17:44:09,740 autoreload File C:\Python 3.13.5\Lib\sysconfig\__init__.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:09,746 autoreload File C:\Python 3.13.5\DLLs\_asyncio.pyd first seen with mtime 1749643824.0
DEBUG 2025-08-07 17:44:09,750 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\unfold\widgets.py first seen with mtime 1754561014.5539267
DEBUG 2025-08-07 17:44:09,827 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\template\context.py first seen with mtime 1754560995.1850688
DEBUG 2025-08-07 17:44:09,855 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1754560988.2549071
DEBUG 2025-08-07 17:44:09,864 autoreload File C:\Python 3.13.5\DLLs\select.pyd first seen with mtime 1749643822.0
DEBUG 2025-08-07 17:44:09,866 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1754560992.8261518
DEBUG 2025-08-07 17:44:09,874 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\db\__init__.py first seen with mtime 1754560994.7824187
DEBUG 2025-08-07 17:44:09,876 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\admin\forms.py first seen with mtime 1754560988.2489195
DEBUG 2025-08-07 17:44:09,884 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1754560977.4244099
DEBUG 2025-08-07 17:44:09,898 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\tasks\__init__.py first seen with mtime 1752863773.2992494
DEBUG 2025-08-07 17:44:09,917 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1754560995.3109028
DEBUG 2025-08-07 17:44:09,932 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1754560973.626634
DEBUG 2025-08-07 17:44:09,969 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\rest_framework\negotiation.py first seen with mtime 1754561010.5089674
DEBUG 2025-08-07 17:44:09,987 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\urllib3\_version.py first seen with mtime 1754560973.6146674
DEBUG 2025-08-07 17:44:10,012 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1754560989.2240205
DEBUG 2025-08-07 17:44:10,021 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1754560994.7130706
DEBUG 2025-08-07 17:44:10,035 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\rest_framework_simplejwt\token_blacklist\__init__.py first seen with mtime 1754561018.0721052
